Ország;2013;2014;2015;2016;2017;2018;2019;2020;2021
EU átlag;40;45,3;47,3;50,5;54,4;58,4;70,9;76,2;82,1
Belgium;91,9;92,6;93,1;93,9;94,2;95,5;96,5;96,5;97,2
Bulgária;2;15,1;15,7;18,6;30,7;49;68;80,9;91,9
Csehország;38,6;39,4;43,3;44,5;55,9;58,2;75;86,4;89,2
Dánia;46,8;85;87;88,9;91,2;92,6;94,3;95,3;96,3
Németország;56,4;62,1;63,5;64,9;65,4;66,3;81,8;85,7;89,6
Észtország;51,5;54,1;58,3;58,7;61,1;68,5;74,3;81,9;83,5
Írország;41,2;40,6;43,3;44,9;52,3;55,4;69,1;72,8;87,7
Görögország;0,4;0,4;0,4;0,4;0,4;0,4;41,6;48,9;54,6
Spanyolország;60,6;70,5;74,2;79,1;83,6;87,2;89;91,7;93,8
Franciaország;26,6;26,9;28,4;33,9;39,2;47,4;50,3;55,8;65,3
Horvátország;19,1;21,8;22;25,3;28,5;37,7;43,6;46,2;62,1
Olaszország;12,2;14,8;16,4;18,8;21,7;23,9;61;67;77,6
Ciprus;43,7;44,1;44,6;44,8;45;62,9;71;78,9;82,9
Lettország;84,6;85,5;86,4;86,8;86,9;87,7;89,6;89,6;90,7
Litvánia;48,7;49,2;49,6;50,1;54,4;60,6;61,2;67,3;78,1
Luxemburg;79,6;82,5;87,6;89,7;86,6;94;94,6;99,3;99,4
Magyarország;68,9;65,4;67,7;68,4;72,4;78;79;85,5;88,7
Málta;100;99,4;99,4;99,4;99,9;99,9;100;100;100
Hollandia;88,9;91,9;91,9;92;92,9;93;95,8;95,8;98,5
Ausztria;43,2;40,8;42,3;49,5;56,2;57,5;65,2;72,2;82,8
Lengyelország;12,4;13,5;22;28,7;35,4;40,4;51,3;63,4;69,2
Portugália;42,1;45,3;47,2;49,6;63,6;70,2;76,6;89,5;92,8
Románia;18,4;60,2;61,8;63,4;64,9;73,8;77,7;82,8;88,6
Szlovénia;64,7;67,3;68,7;72,2;74,3;79,4;80,9;82,1;85,5
Szlovákia;32,4;35,9;45;49;53,1;54,7;57,3;61,9;75,4
Finnország;29,4;33,7;33,7;32,5;43,4;51,8;62;64;65
Svédország;59,1;57,5;57,5;68,6;73,3;78,4;82,2;85,1;86,7
Izland;49,7;49;49,4;69,6;70,4;74,3;83,3;83,9;88,3
Norvégia;23;28;73;77,6;79,8;82;85,7;88,5;89,2
Svájc;97,4;98,3;98,4;98,5;98,5;98,5;98,6;98,6;98,6
Egyesült Királyság;47,7;47,7;47,9;46;47;48;57;59;63,2
